College,Branches,Rank
NIE,1,2949
VVCE,1,9177
VVIT,1,28886
SJCE,1,1513
MIT,1,76815
NIE,1,3358
NIE,1,3248
VVCE,1,9655
VVCE,1,10100
VVIT,1,29877
VVIT,1,29000
SJCE,1,1877
SJCE,1,1678
MIT,1,77777
MIT,1,76543
UVCE Bangalore,1,3104
RV Bangalore,1,239
PES Mandya,1,14845
UVCE Bangalore,1,3650
RV Bangalore,1,349
PES Mandya,1,20519
UVCE Bangalore,1,2940
RV Bangalore,1,202
PES Mandya,1,19967
NIE,2,5618
NIE,2,5287
NIE,2,5364
NIE,2,4987
NIE,2,4790
SJCE,2,4350
NIE,2,4960
NIE,2,5498
NIE,2,4612
SJCE,5,7180
SJCE,1,2133
SJCE,1,1458
NIE,2,5534
SJCE,1,1500
SJCE,1,1322
SJCE,2,3987
VVCE,2,8963
NIE,2,5123
NIE,2,5520
NIE,2,5134
SJCE,4,6350
NIE,2,5400
NIE,1,2987
ATME,5,44148
SJCE,1,1345
VVCE,1,8456
PES Mandya,3,10094
APS Bangalore,1,20228
BMS Bangalore,4,1756
PES Mandya,3,15005
VVCE,1,9875
MCE Hassan,1,12621
MCE Hassan,2,17054
MCE Hassan,6,25609
MCE Hassan,3,11779
MCE Hassan,7,44793
MCE Hassan,5,31220
MCE Hassan,4,31823
MSRIT Bangalore,1,450
MSRIT Bangalore,2,2904
MSRIT Bangalore,6,4400
MSRIT Bangalore,3,890
MSRIT Bangalore,7,6523
MSRIT Bangalore,5,3217
MSRIT Bangalore,4,1550
KLE Hubli,1,5621
KLE Hubli,5,23344
KLE Hubli,6,21905
KLE Hubli,3,7597
KLE Hubli,7,81053
KLE Hubli,5,19241
KLE Hubli,4,12904
RNSIT Bangalore,1,3789
RNSIT Bangalore,2,5473
RNSIT Bangalore,6,21410
RNSIT Bangalore,3,6740
RNSIT Bangalore,4,12643
RNSIT Bangalore,7,15770
RNSIT Bangalore,5,21242
RV Bangalore,1,57
RV Bangalore,1,181
BMS Bangalore,3,854
MSRIT Bangalore,3,912
SJCE,1,2123
UVCE Bangalore,1,2345
BIT Bangalore,2,2262
BIT Bangalore,6,23273
BIT Bangalore,1,1789
BIT Bangalore,3,3736
BIT Bangalore,4,6803
BIT Bangalore,5,18565
SIT Tumkur,6,16285
SIT Tumkur,2,4324
SIT Tumkur,1,3618
SIT Tumkur,3,5603
SIT Tumkur,4,8662
PES Bangalore,1,752
PES Bangalore,6,8866
PES Bangalore,4,3071
PES Bangalore,3,1190
PES Bangalore,5,3292
PES Mandya,2,16875
PES Mandya,6,25093
PES Mandya,3,16019
NIE,7,15233
NIE,6,11678
NIE,4,7927
NIE,3,3133
NIE,5,4486
NIE,2,4893
BMS Bangalore,4,2686
BMS Bangalore,3,905
BMS Bangalore,6,6493
BMS Bangalore,5,1627
BMS Bangalore,6,6379
BMS Bangalore,3,1050
BMS Bangalore,4,2701
BMS Bangalore,5,2008
RV Bangalore,6,3255
RV Bangalore,3,361
RV Bangalore,4,972
RV Bangalore,2,418
RV Bangalore,5,984
BIT Bangalore,6,19598
BIT Bangalore,1,2594
BIT Bangalore,3,3777
BIT Bangalore,4,8696
BIT Bangalore,2,4083
BIT Bangalore,5,10648
PES Bangalore,6,7491
PES Bangalore,1,884
PES Bangalore,3,1404
PES Bangalore,4,2862
PES Bangalore,5,3425
SJCE,6,9890
SJCE,1,1787
SJCE,3,2338
SJCE,4,4993
SJCE,7,16703
SJCE,5,5814
PES Mandya,6,22622
PES Mandya,3,12454
PES Mandya,4,19772
PES Mandya,7,51390
PES Mandya,5,27233
BMS Bangalore,6,8488
BMS Bangalore,1,911
BMS Bangalore,3,1195
BMS Bangalore,2,1213
BMS Bangalore,5,2868
NIE,3,4075
NIE,1,2987
NIE,5,6120
SJCE,6,11207
SJCE,1,2189
SJCE,3,2700
SJCE,2,2909
SJCE,5,7180
VVIT,6,19897
VVIT,1,12240
VVIT,3,12610
VVIT,4,20453
VVIT,2,19077
VVIT,5,23328
RNSIT Bangalore,6,24176
RNSIT Bangalore,1,4928
RNSIT Bangalore,3,6024
RNSIT Bangalore,4,12749
RNSIT Bangalore,2,8046
RNSIT Bangalore,5,18081
NIE,1,2480
UVCE Bangalore,1,2110
UVCE Bangalore,1,1574
UVCE Bangalore,6,15374
UVCE Bangalore,6,17745
UVCE Bangalore,4,9476
UVCE Bangalore,3,3904
UVCE Bangalore,5,15018
UVCE Bangalore,2,3526
BMS Bangalore,2,783
BMS Bangalore,1,487
BMS Bangalore,6,14523
BMS Bangalore,4,3213
BMS Bangalore,3,875
BMS Bangalore,5,5465
BIT Bangalore,5,20859
BIT Bangalore,2,3189
BIT Bangalore,3,4550
BIT Bangalore,4,6674
BIT Bangalore,1,2201
BIT Bangalore,6,26769
DSCE Bangalore,4,10168
DSCE Bangalore,3,5188
DSCE Bangalore,1,2579
DSCE Bangalore,6,23500
DSCE Bangalore,2,4444
DSCE Bangalore,5,19859
MSRIT Bangalore,1,504
MSRIT Bangalore,3,1192
MSRIT Bangalore,2,902
MSRIT Bangalore,4,2752
MSRIT Bangalore,6,10827
MSRIT Bangalore,5,5406
